idPan;panNome;panNomeCompleto;idPan2;panNomeFantasia;panAbrangenciaTaxonomica;panAbrangenciaGeografica;panCiclo;panStatus;panCentro;panInicioData;panInicioAno;Data da portaria vigente do PAN;"Data do início da vigência do PAN na portaria 
(último artigo da portaria)";panFimData;panFimAno;panStatusLegal;panPortaria;panProcesso;panLogo;panSite
CEPTA_07.02;Rivulideos - 2º ciclo;Plano de Ação Nacional para a Conservação dos Peixes Rivulídeos Ameaçados de Extinção;CEPTA_07.02;Rivulideos;Intraclasse;Nacional;2º ciclo;Em execução;CEPTA;04/07/2022;2022;04/07/2022;01/08/2022;01/07/2027;2027;Portaria vigente;Portaria 553 (04/07/2022);02031.000032/2019-91;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cepta_07-02.jpg;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-rivulideos
CEMAVE_29.02;Aves do Cerrado e Pantanal - 2º ciclo;Plano de Ação Nacional para Conservação das Aves do Cerrado e Pantanal;CEMAVE_29.02;Aves do Cerrado e Pantanal;Intraclasse;Bioma;2º ciclo;Em execução;CEMAVE;01/09/2023;2023;23/08/2023;01/09/2023;01/08/2028;2028;Portaria vigente;Portaria 2811 (23/08/2023);02061.000038/2020-45;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_17-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-do-cerrado-e-pantanal
CEMAVE_30.02;Aves da Amazônia - 2º ciclo;Plano de Ação Nacional para Conservação das Aves da Amazônia;CEMAVE_30.02;Aves da Amazônia;Intraclasse;Bioma;2º ciclo;Em execução;CEMAVE;01/08/2023;2023;26/07/2023;01/08/2023;01/07/2028;2028;Portaria vigente;Portaria 2402 (26/07/2023);02061.000203/2021-40;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_16-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-da-amazonia
CEMAVE_31.02;Aves da Mata Atlântica - 2º ciclo;Plano de Ação Nacional para Conservação das Aves da Mata Atlântica;CEMAVE_31.02;Aves da Mata Atlântica;Intraclasse;Bioma;2º ciclo;Em execução;CEMAVE;01/11/2023;2023;04/10/2023;01/11/2023;01/10/2028;2028;Portaria vigente;Portaria 3369 (04/10/2023);02061.000248/2022-03;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_20-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-da-mata-atlantica
CEPTA_08.02;São Francisco - 2º ciclo;Plano de Ação Nacional para Conservação das Espécies Ameaçadas de Extinção da Fauna Aquática da Bacia do Rio São Francisco;CEPTA_08.02;São Francisco;Intraclasse;Bacia;2º ciclo;Em execução;CEPTA;01/02/2023;2023;01/02/2023;01/03/2023;01/02/2028;2028;Portaria vigente;Portaria 124 (16/01/2023);02031.000049/2021-63;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cepta_08-02.jpg;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-sao-francisco
CEMAVE_33.03;Aves da Caatinga - 3º ciclo;Plano de Ação Nacional para Conservação das Aves da Caatinga;CEMAVE_33.03;Aves da Caatinga;Intraclasse;Bioma;3º ciclo;Em execução;CEMAVE;03/06/2024;2024;22/05/2024;03/06/2024;03/06/2029;2029;Portaria vigente;Portaria 1546 (22/05/2024);02061.000029/2023-05;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_25-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-da-caatinga
CEMAVE_34.02;Aves Marinhas - 2º ciclo;Plano de Ação Nacional para a Conservação das Aves Marinhas;CEMAVE_34.02;Aves Marinhas;Intraclasse;Bioma;2º ciclo;Em execução;CEMAVE;17/02/2024;2024;17/01/2024;17/02/2024;01/02/2029;2029;Portaria vigente;Portaria 167 (17/01/2024);02061.000048/2023-23;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_24-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-marinhas
CENAP_15.03;Ariranha - 3º ciclo;Plano de Ação Nacional para a Conservação da Ariranha (Pteronura brasiliensis);CENAP_15.03;Ariranha;Monoespecífico;Específico (distribuição da espécie);3º ciclo;Em execução;CENAP;01/10/2024;2024;01/10/2024;01/10/2024;01/10/2029;2029;Portaria vigente;Portaria 2.901 (18/09/2024);02068.000081/2022-11;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-ariranha
CEPTA_09.01;Alto Paraná - 1º ciclo;Plano de Ação Nacional para a Conservação das Espécies de Peixes Ameaçadas de Extinção da Bacia do Alto Rio Paraná;CEPTA_09.01;Alto Paraná;Multiclasse;Bacia;1º ciclo;Em execução;CEPTA;01/02/2024;2024;17/01/2024;01/02/2024;01/02/2029;2029;Portaria vigente;Portaria 170 (22/01/2024);02031.000143/2021-12;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cepta_09-01.jpg;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-alto-parana
CEPTA_10.02;Paraíba do Sul - 2º ciclo;Plano de Ação Nacional para Conservação das Espécies Aquáticas Ameaçadas de Extinção do Rio Paraíba do Sul;CEPTA_10.02;Paraíba do Sul;Multiclasse;Bacia;2º ciclo;Em execução;CEPTA;01/05/2024;2024;01/05/2024;01/05/2024;31/05/2029;2029;Portaria vigente;Portaria 1.133 (19/04/2024);02031.000124/2022-77;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cepta_10-02.jpg;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-paraiba-do-sul
