País,Ouro (Verão),Prata (Verão),Bronze (Verão),Total (Verão),Ouro (Inverno),Prata (Inverno),Bronze (Inverno),Total (Inverno),Ouro (Total),Prata (Total),Bronze (Total),Total Geral
Tanzânia,0,2,0,2,0,0,0,0,0,2,0,2
Taipé Chinês,9,11,23,43,0,0,0,0,7,11,18,36
Togo,0,0,1,1,0,0,0,0,0,0,1,1
Tonga,0,1,0,1,0,0,0,0,0,1,0,1
Trinidad e Tobago,3,5,11,19,0,0,0,0,3,5,11,19
Tunísia,6,4,8,18,0,0,0,0,5,3,7,15
Turcomenistão,0,1,0,1,0,0,0,0,0,1,0,1
Turquia,41,29,42,112,0,0,0,0,41,26,37,104
Uganda,5,5,3,13,0,0,0,0,4,4,3,11
Ucrânia,38,41,72,151,3,1,4,8,38,37,72,147
União Soviética,395,319,296,1010,78,57,59,194,473,376,355,1204
Equipa Unificada,45,38,29,112,9,6,8,23,54,44,37,135
Uruguai,2,2,6,10,0,0,0,0,2,2,6,10
Uzbequistão,18,8,23,49,1,0,0,1,11,6,20,37
Venezuela,3,7,9,19,0,0,0,0,3,7,9,19
Vietnã,1,3,1,5,0,0,0,0,1,3,1,5
Zâmbia,0,1,2,3,0,0,0,0,0,1,1,2
Zimbabwe,3,4,1,8,0,0,0,0,3,4,1,8
Atletas Individuais Neutros,1,3,1,5,0,0,0,0,1,3,1,5
Atletas Olímpicos Independentes,1,0,1,2,0,0,0,0,1,0,1,2
Participantes Olímpicos Independentes,0,1,2,3,0,0,0,0,0,1,2,3
Equipa mista,8,5,4,17,0,0,0,0,8,5,4,17
